year,section,rank,title,url
2012,Other nominations,,Using POST method to bypass IE-browser protected XSS,https://web.archive.org/web/20170903113359/http://seckb.yehg.net/2012/06/using-post-method-to-bypass-ie-browser.html
2012,Other nominations,,Password extraction from Ajax/DOM/HTML5 routine,https://web.archive.org/web/20170903113359/http://shreeraj.blogspot.com/2012/01/password-extraction-from-ajaxdomhtml5.html
2012,Other nominations,,Random Number Security in Python,https://web.archive.org/web/20170903113359/http://blog.ptsecurity.com/2012/10/random-number-security-in-python.html
2012,Other nominations,,Bypassing Flash's local-with-filesystem Sandbox,https://web.archive.org/web/20170903113359/http://xs-sniper.com/blog/2011/01/04/bypassing-flash%E2%80%99s-local-with-filesystem-sandbox/
2012,Other nominations,,RCE through mangled WAR upload into Tomcat App Manager using PUT-in-Gopher-over-XXE,https://web.archive.org/web/20170903113359/http://www.slideshare.net/andrewpetukhov/no-locked-doors-no-windows-barred-hacking-openam-infrastructure/11
2012,Other nominations,,Using WordPress as a intranet and internet port scanner,https://web.archive.org/web/20170903113359/https://github.com/FireFart/WordpressPingbackPortScanner
2012,Other nominations,,UI Redressing Mayhem: Firefox 0-Day And The LeakedIn Affair,https://web.archive.org/web/20170903113359/http://blog.nibblesec.org/2012/12/ui-redressing-mayhem-firefox-0day-and.html
2012,Other nominations,,UI Redressing Mayhem: HTTPOnly Bypass PayPwn Style,https://web.archive.org/web/20170903113359/http://blog.nibblesec.org/2012/12/ui-redressing-mayhem-httponly-bypass_19.html
2012,Other nominations,,NTLM Relay via HTTP to internet or stealing windows user hashes while using java client,https://web.archive.org/web/20170903113359/http://erpscan.com/press-center/smbrelay-bible-7-ssrf-java-windows-love/
2012,Other nominations,,Bypassing CAPTCHAs by Impersonating CAPTCHA Providers,https://web.archive.org/web/20170903113359/http://gursevkalra.blogspot.com/2012/10/bypassing-captchas-by-impersonating.html
2012,Other nominations,,Attacking CAPTCHAs for Fun and Profit,https://web.archive.org/web/20170903113359/http://www.mcafee.com/us/resources/white-papers/foundstone/wp-attacking-captchas-for-fun-profit.pdf
2012,Other nominations,,Cracking Ruby on Rails Session,https://web.archive.org/web/20170903113359/http://phenoelit.org/blog/archives/2012/12/21/let_me_github_that_for_you/index.html
2012,Other nominations,,Bruteforcing/Abusing search functions with no-rate checks to collect data,https://web.archive.org/web/20170903113359/http://suriya.me/me-and-facebook-a-cautionary-tale/
2012,Other nominations,,Cross Context Scripting from within the Browser,https://web.archive.org/web/20170903113359/http://blog.malerisch.net/2012/12/maxthon-cross-context-scripting-xcs-about-history-rce.html
2012,Other nominations,,Same Origin Spoofing to Attack Client Certificate Sessions,https://web.archive.org/web/20130921173625/https://isecpartners.com/blog/2012/december/an-attack-on-ssl-client-certificates.aspx
2012,Top 10,,CRIME,https://web.archive.org/web/20170903113359/http://threatpost.com/en_us/blogs/new-attack-uses-ssltls-information-leak-hijack-https-sessions-090512
2012,Top 10,,"Pwning via SSRF (memcached, php-fastcgi, etc)",https://web.archive.org/web/20170903113359/http://media.blackhat.com/bh-us-12/Briefings/Polyakov/BH_US_12_Polyakov_SSRF_Business_WP.pdf
2012,Top 10,,Chrome addon hacking,https://web.archive.org/web/20170903113359/http://blog.kotowicz.net/2012/02/intro-to-chrome-addons-hacking.html
2012,Top 10,#4,Bruteforce of PHPSESSID,https://web.archive.org/web/20170903113359/http://blog.ptsecurity.com/2012/08/not-so-random-numbers-take-two.html
2012,Top 10,#5,Blended Threats and JavaScript,https://web.archive.org/web/20170903113359/https://superevr.com/blog/2012/blended-threats-and-javascript/
2012,Top 10,#6,Cross-Site Port Attacks,https://web.archive.org/web/20170903113359/http://www.riyazwalikar.com/2012/11/cross-site-port-attacks-xspa-part-1.html
2012,Top 10,,Permanent backdooring of HTML5 client-side application,https://web.archive.org/web/20170903113359/http://securitymusings.com/article/3159/how-a-platform-using-html5-can-affect-the-security-of-your-website
2012,Top 10,#8,CAPTCHA Re-Riding Attack,https://web.archive.org/web/20170903113359/http://gursevkalra.blogspot.com/2012/03/captcha-re-riding-attack.html
2012,Top 10,#9,XSS: Gaining access to HttpOnly Cookie in 2012,https://web.archive.org/web/20170903113359/http://seckb.yehg.net/2012/06/xss-gaining-access-to-httponly-cookie.html
2012,Top 10,#10,"Attacking OData: HTTP Verb Tunneling, Navigation Properties for Additional Data Access, System Query Options ($select)",https://web.archive.org/web/20170903113359/http://www.mcafee.com/us/resources/white-papers/foundstone/wp-pentesters-guide-to-hacking-odata.pdf
2013,Missed from the original list,,Practical HTTP Host Header Attacks,https://www.skeletonscribe.net/2013/05/practical-http-host-header-attacks.html
2013,Missed from the original list,,One Bad Apple: Backwards Compatibility Attacks on State-of-the-Art Cryptography,https://www.ndss-symposium.org/ndss2013/ndss-2013-programme/one-bad-apple-backwards-compatibility-attacks-state-art-cryptography/
2013,Missed from the original list,,The Postman Always Rings Twice: Attacking and Defending postMessage in HTML5 Websites,https://www.ndss-symposium.org/ndss2013/ndss-2013-programme/postman-always-rings-twice-attacking-and-defending-postmessage-html5-websites/
2013,Missed from the original list,,Unauthorized Origin Crossing on Mobile Platforms: Threats and Mitigation,https://www.microsoft.com/en-us/research/publication/unauthorized-origin-crossing-on-mobile-platforms-threats-and-mitigation/
2013,Missed from the original list,,Explicating SDKs: Uncovering Assumptions Underlying Secure Authentication and Authorization,https://www.cs.virginia.edu/~evans/pubs/usenix2013/
2013,Missed from the original list,,AUTHSCAN: Automatic Extraction of Web Authentication Protocols from Implementations,https://www.ndss-symposium.org/ndss2013/ndss-2013-programme/authscan-automatic-extraction-web-authentication-protocols-implementations/
2013,Missed from the original list,,Automated Password Extraction Attack on Modern Password Managers,https://arxiv.org/abs/1309.1416
2013,Missed from the original list,,Truncating TLS Connections to Violate Beliefs in Web Applications,https://www.usenix.org/conference/woot13/workshop-program/presentation/smyth
2013,Missed from the original list,,DOM Clobbering,https://thespanner.co.uk/2013/05/16/dom-clobbering
2013,Missed from the original list,,When Tolerance Causes Weakness: The Case of Injection-Friendly Browsers,https://archives.iw3c2.org/www2013/proceedings/p435.pdf
2013,Missed from the original list,,Cookieless Monster: Exploring the Ecosystem of Web-Based Device Fingerprinting,https://seclab.cs.ucsb.edu/publications/nikiforakis2013cookieless_monster/
2013,Missed from the original list,,Language-based Defenses Against Untrusted Browser Origins,https://www.usenix.org/conference/usenixsecurity13/technical-sessions/presentation/bhargavan
2013,Missed from the original list,,Take This Personally: Pollution Attacks on Personalized Services,https://www.usenix.org/conference/usenixsecurity13/technical-sessions/paper/xing
2013,Missed from the original list,,Exploiting Innocuous Activity for Correlating Users Across Sites,https://archives.iw3c2.org/www2013/proceedings/p447.pdf
2013,Missed from the original list,,I Know the Shortened URLs You Clicked on Twitter,https://archives.iw3c2.org/www2013/proceedings/p1191.pdf
2013,Missed from the original list,,A View to a Kill: WebView Exploitation,https://www.usenix.org/conference/leet13/workshop-program/presentation/neugschwandtner
2013,Missed from the original list,,Cross-Site Scripting Attacks in Social Network APIs,https://www.ieee-security.org/TC/W2SP/2013/papers/s3p1.pdf
2013,Missed from the original list,,FireDrill: Interactive DNS Rebinding,https://www.usenix.org/conference/woot13/workshop-program/presentation/dai
